A000,"Cholera due to Vibrio cholerae 01, biovar cholerae","Cholera due to Vibrio cholerae 01, biovar cholerae",Cholera
A001,"Cholera due to Vibrio cholerae 01, biovar eltor","Cholera due to Vibrio cholerae 01, biovar eltor",Cholera
A009,"Cholera, unspecified","Cholera, unspecified",Cholera
A0100,"Typhoid fever, unspecified","Typhoid fever, unspecified",Typhoid fever
A0101,Typhoid meningitis,Typhoid meningitis,Typhoid fever
A0102,Typhoid fever with heart involvement,Typhoid fever with heart involvement,Typhoid fever
A0103,Typhoid pneumonia,Typhoid pneumonia,Typhoid fever
A0104,Typhoid arthritis,Typhoid arthritis,Typhoid fever
A0105,Typhoid osteomyelitis,Typhoid osteomyelitis,Typhoid fever
A0109,Typhoid fever with other complications,Typhoid fever with other complications,Typhoid fever
A011,Paratyphoid fever A,Paratyphoid fever A,Paratyphoid fever A
A012,Paratyphoid fever B,Paratyphoid fever B,Paratyphoid fever B
A013,Paratyphoid fever C,Paratyphoid fever C,Paratyphoid fever C
A014,"Paratyphoid fever, unspecified","Paratyphoid fever, unspecified","Paratyphoid fever, unspecified"
A020,Salmonella enteritis,Salmonella enteritis,Other salmonella infections
A021,Salmonella sepsis,Salmonella sepsis,Other salmonella infections
A0220,"Localized salmonella infection, unspecified","Localized salmonella infection, unspecified",Localized salmonella infections
A0221,Salmonella meningitis,Salmonella meningitis,Localized salmonella infections
A0222,Salmonella pneumonia,Salmonella pneumonia,Localized salmonella infections
A0223,Salmonella arthritis,Salmonella arthritis,Localized salmonella infections
A0224,Salmonella osteomyelitis,Salmonella osteomyelitis,Localized salmonella infections
A0225,Salmonella pyelonephritis,Salmonella pyelonephritis,Localized salmonella infections
A0229,Salmonella with other localized infection,Salmonella with other localized infection,Localized salmonella infections
A028,Other specified salmonella infections,Other specified salmonella infections,Other specified salmonella infections
A029,"Salmonella infection, unspecified","Salmonella infection, unspecified","Salmonella infection, unspecified"
A030,Shigellosis due to Shigella dysenteriae,Shigellosis due to Shigella dysenteriae,Shigellosis
A031,Shigellosis due to Shigella flexneri,Shigellosis due to Shigella flexneri,Shigellosis
A032,Shigellosis due to Shigella boydii,Shigellosis due to Shigella boydii,Shigellosis
A033,Shigellosis due to Shigella sonnei,Shigellosis due to Shigella sonnei,Shigellosis
A038,Other shigellosis,Other shigellosis,Shigellosis
A039,"Shigellosis, unspecified","Shigellosis, unspecified",Shigellosis
A040,Enteropathogenic Escherichia coli infection,Enteropathogenic Escherichia coli infection,Other bacterial intestinal infections
A041,Enterotoxigenic Escherichia coli infection,Enterotoxigenic Escherichia coli infection,Other bacterial intestinal infections
A042,Enteroinvasive Escherichia coli infection,Enteroinvasive Escherichia coli infection,Other bacterial intestinal infections
A043,Enterohemorrhagic Escherichia coli infection,Enterohemorrhagic Escherichia coli infection,Other bacterial intestinal infections
A044,Other intestinal Escherichia coli infections,Other intestinal Escherichia coli infections,Other bacterial intestinal infections
A045,Campylobacter enteritis,Campylobacter enteritis,Other bacterial intestinal infections
A046,Enteritis due to Yersinia enterocolitica,Enteritis due to Yersinia enterocolitica,Other bacterial intestinal infections
A0471,"Enterocolitis due to Clostridium difficile, recurrent","Enterocolitis due to Clostridium difficile, recurrent",Enterocolitis due to Clostridium difficile
A0472,"Enterocolitis d/t Clostridium difficile, not spcf as recur","Enterocolitis due to Clostridium difficile, not specified as recurrent",Enterocolitis due to Clostridium difficile
A048,Other specified bacterial intestinal infections,Other specified bacterial intestinal infections,Other specified bacterial intestinal infections
A049,"Bacterial intestinal infection, unspecified","Bacterial intestinal infection, unspecified","Bacterial intestinal infection, unspecified"
A050,Foodborne staphylococcal intoxication,Foodborne staphylococcal intoxication,"Other bacterial foodborne intoxications, not elsewhere classified"
A051,Botulism food poisoning,Botulism food poisoning,"Other bacterial foodborne intoxications, not elsewhere classified"
A052,Foodborne Clostridium perfringens intoxication,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,"Other bacterial foodborne intoxications, not elsewhere classified"
A053,Foodborne Vibrio parahaemolyticus intoxication,Foodborne Vibrio parahaemolyticus intoxication,"Other bacterial foodborne intoxications, not elsewhere classified"
A054,Foodborne Bacillus cereus intoxication,Foodborne Bacillus cereus intoxication,"Other bacterial foodborne intoxications, not elsewhere classified"
A055,Foodborne Vibrio vulnificus intoxication,Foodborne Vibrio vulnificus intoxication,"Other bacterial foodborne intoxications, not elsewhere classified"
A058,Other specified bacterial foodborne intoxications,Other specified bacterial foodborne intoxications,"Other bacterial foodborne intoxications, not elsewhere classified"
A059,"Bacterial foodborne intoxication, unspecified","Bacterial foodborne intoxication, unspecified","Other bacterial foodborne intoxications, not elsewhere classified"
A060,Acute amebic dysentery,Acute amebic dysentery,Amebiasis
A061,Chronic intestinal amebiasis,Chronic intestinal amebiasis,Amebiasis
A062,Amebic nondysenteric colitis,Amebic nondysenteric colitis,Amebiasis
A063,Ameboma of intestine,Ameboma of intestine,Amebiasis
A064,Amebic liver abscess,Amebic liver abscess,Amebiasis
